Graduation Date,Program Name/Major,Academic Division/School,Degree Level,Outcome Type,Employing Organization,Position Location - Country,Position Location - State,Name of Institution,Degree to be earned,Program/Field of Study,Job Title
2021,Computer Science (BS),Opus College of Business,Bachelor's Degree,Military Service,148 FW,,Minnesota,,,,Cyber Security Specialist
2021,Financial Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,3M,,Minnesota,,,,Finance Analyst
2021,Entrepreneurship,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,3M,,Minnesota,,,,Customer Issue Resolution Analyst
2021,Mechanical Engineering,Opus College of Business,Bachelor's Degree,Employed Full-Time,3M,,Minnesota,,,,O2 Engineer
2021,Financial Management,College of Health,Bachelor's Degree,Employed Full-Time,3M,,Minnesota,,,,Credit Analyst
2021,Operations Management,School of Engineering,Bachelor's Degree,Employed Full-Time,3M,,Iowa,,,,Supply Chain Analyst
2021,Marketing Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,3M,,Wisconsin,,,,Marketing Automation Analyst
2021,Operations Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,3M,,,,,,Analyst
2021,Chemistry,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,3M,,Minnesota,,,,Laboratory Technician III
2021,Computer Science (BS),College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,3M,,Minnesota,,,,Tech Aid
2021,Computer Science (BS),Opus College of Business,Bachelor's Degree,Employed Full-Time,3M,,Minnesota,,,,Technical Analyst
2024,Financial Management,Opus College of Business,Bachelor's degree,Employed Full-Time,Ecolab,United States,Illinois,,,,associate financial analyst
2024,Financial Management,Opus College of Business,Bachelor's degree,Employed Full-Time,Wintrust Bank,United States,Illinois,,,,Credit Analyst
2021,Human Resources Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Abdallah Candies Inc.,,Minnesota,,,,Kitchen/Administrative Assistant
2021,Financial Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Abdo,,Minnesota,,,,Audit Associate
2021,Mechanical Engineering,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,"AbelConn Electronics, a Celestica Company",,Minnesota,,,,Quality Engineer
2021,Computer Science (BS),Opus College of Business,Bachelor's Degree,Employed Full-Time,Accenture,,Minnesota,,,,AWS Application Lead
2021,Marketing Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Acosta,,Florida,,,,Associate Business Manager
2021,Psychology,Opus College of Business,Bachelor's Degree,Employed Full-Time,ACR Homes,,Minnesota,,,,Direct Care
2021,Mechanical Engineering,Opus College of Business,Bachelor's Degree,Employed Full-Time,Actalent Services,,Minnesota,,,,Engineering Technician
2021,Human Resources Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Actalent Services,,Minnesota,,,,Recruiter
2021,Catholic Studies,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,The Saint Paul Seminary,,Minnesota,,,,Administrative Coordinator
2021,Mechanical Engineering,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Advanced Research Corporation,,Minnesota,,,,Thin Film Engineer
2021,Entrepreneurship,School of Engineering,Bachelor's Degree,Employed Full-Time,Agilitihealth,,Minnesota,,,,Project Analyst
2021,Financial Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Agilitihealth,,Minnesota,,,,Financial analyst
2021,Financial Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,AgriBank,,Minnesota,,,,Cash Management Specialist
2021,COJO Creative Multimedia,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,AHS,,,,,,Rep
2021,Economics - Public Policy,School of Engineering,Bachelor's Degree,Military Service,Air Force,,Minnesota,,,,Officer
2021,Psychology,College of Arts & Sciences,Bachelor's Degree,Military Service,Air Force,,Minnesota,,,,Force Support
2021,Criminal Justice,College of Arts & Sciences,Bachelor's Degree,Military Service,Air Force,,Minnesota,,,,Aircraft Maintenance
2021,Mechanical Engineering,College of Arts & Sciences,Bachelor's Degree,Military Service,Air Force Reserve,,Wisconsin,,,,Space Operations Officer
2021,Mechanical Engineering,Opus College of Business,Bachelor's Degree,Employed Full-Time,AIS,,Minnesota,,,,Metrology engineer
2021,Financial Management,College of Health,Bachelor's Degree,Employed Full-Time,ALDI,,Minnesota,,,,District Manager
2021,Financial Management,School of Engineering,Bachelor's Degree,Employed Full-Time,Aleran,,Minnesota,,,,Sales Representative
2021,Gen Business Mgmt,Opus College of Business,Bachelor's Degree,Employed Full-Time,Align Surgical Supply LLC,,Minnesota,,,,Sales Associate
2021,Mechanical Engineering,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Alliant Engineering,,Minnesota,,,,Traffic Engineer Assistant
2021,Gen Business Mgmt,Opus College of Business,Bachelor's Degree,Employed Full-Time,Allianz,,Minnesota,,,,FMO Distribution Intern
2021,Leadership & Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Allianz Life,,Minnesota,,,,Business Analyst
2021,Public Health,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Allina Health,,Minnesota,,,,Community Engagement and Health Improvement Intern
2021,Biochemistry,School of Engineering,Bachelor's Degree,Employed Full-Time,Allina Health,,Minnesota,,,,Emergency Medical Technician
2021,Biology (BS),Opus College of Business,Bachelor's Degree,Employed Full-Time,Allina Health,,Minnesota,,,,Emergency Department Technician
2021,Social Work,School of Engineering,Bachelor's Degree,Employed Part-Time,Always Best Care Senior Services,,Minnesota,,,,Direct Care Professional
2021,Operations Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Amazon,,Wisconsin,,,,Operation Manager
2021,Gen Business Mgmt,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Amazon,,Minnesota,,,,Area Operations Manager
2021,Computer Science (BS),College of Health,Bachelor's Degree,Employed Full-Time,Ameren,,Minnesota,,,,Software Consultant
2021,Environmental Sci (Geoscience),College of Health,Bachelor's Degree,Employed Full-Time,American Engineering Testing,,Minnesota,,,,Construction Materials Technician
2021,Political Science,School of Engineering,Bachelor's Degree,Volunteer Service,AmeriCorps,,Minnesota,,,,CollegePoint Coach
2021,Neuroscience,Opus College of Business,Bachelor's Degree,Volunteer Service,Americorps,,Minnesota,,,,College Coach
2021,Mechanical Engineering,Opus College of Business,Bachelor's Degree,Employed Full-Time,Abbott Laboratories,,Illinois,,,,Contingent Manufacturing Engineer
2021,Economics - Mathematical,Opus College of Business,Bachelor's Degree,Employed Full-Time,Ameriprise Financial,,Minnesota,,,,Analytics LDP Associate
2021,Computer Science (BS),Opus College of Business,Bachelor's Degree,Employed Full-Time,Ameriprise Financial,,Minnesota,,,,Leadership development Program - Mobile app team
2021,Economics,Opus College of Business,Bachelor's Degree,Employed Full-Time,"Ameriprise Financial Services, LLC",,Minnesota,,,,Fund Accountant
2021,Financial Management,School of Engineering,Bachelor's Degree,Employed Full-Time,"Ameriprise Financial Services, LLC",,Minnesota,,,,Financial Advisor in Training
2021,Financial Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,"Ameriprise Financial Services, LLC",,Minnesota,,,,Paraplanner
2021,Operations Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Andersen,,Minnesota,,,,Inside sales representative
2021,Operations Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Andersen Corporation,,Minnesota,,,,Supply chain analyst
2021,Gen Business Mgmt,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Aon,,Minnesota,,,,Account Representative
2021,Actuarial Science,Opus College of Business,Bachelor's Degree,Employed Full-Time,Apex Auto Salvage,,Minnesota,,,,Ecommerce Manager
2021,Biology of Global Health,Opus College of Business,Bachelor's Degree,Employed Full-Time,Apex International,,Minnesota,,,,Microbiologist
2021,Marketing Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Apex Systems,,Virginia,,,,Technical Recruiter
2021,Financial Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,APi Group,,Minnesota,,,,Accounting Associate
2021,Neuroscience,School of Engineering,Bachelor's Degree,Employed Full-Time,APS,,Minnesota,,,,Small Animal Technician
2021,Marketing Management,School of Engineering,Bachelor's Degree,Employed Full-Time,Arcanum Consulting Inc.,,Minnesota,,,,Campaign Manager
2021,Environmental Studies,Opus College of Business,Bachelor's Degree,Employed Full-Time,Archdiocese St. Paul-Minneapolis,,Minnesota,,,,Youth Minister
2021,Mechanical Engineering,Opus College of Business,Bachelor's Degree,Employed Full-Time,Arctic Cat,,Minnesota,,,,Manufacturing Engineer
2021,Marketing Management,School of Engineering,Bachelor's Degree,Employed Full-Time,Arctic Wolf,,Minnesota,,,,SDR
2021,Economics - Business,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Ashling Partners,,Wisconsin,,,,Machine Learning Consultant
2021,Marketing Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Asmodee Group,,Do not live in the United States,,,,Account Manager
2021,Mechanical Engineering,Opus College of Business,Bachelor's Degree,Employed Full-Time,Aspect Automation,,Minnesota,,,,Associate Controls Engineer
2021,Gen Business Mgmt,Opus College of Business,Bachelor's Degree,Employed Full-Time,ATP Flight School,,Florida,,,,Private Pilot
2021,Gen Business Mgmt,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Auto-Owners Insurance,,Minnesota,,,,Underwriter
2021,Leadership & Management,College of Arts & Sciences,Bachelor's Degree,Employed Part-Time,BAE Systems,,Minnesota,,,,Project Management Office Intern
2021,Computer Science (BS),College of Health,Bachelor's Degree,Employed Full-Time,Abbott Northwestern Hospital,,Illinois,,,,Software Verification Engineer
2021,Mechanical Engineering,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Banner Engineering,,Minnesota,,,,Associate Application Engineer
2021,Mechanical Engineering,Opus College of Business,Bachelor's Degree,Employed Full-Time,Banner Engineering,,Minnesota,,,,Associate Mechanical Design Engineer
2021,Exercise Science,Opus College of Business,Bachelor's Degree,Employed Full-Time,Bath and Body Works,,Minnesota,,,,Key Holder
2021,Marketing Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Bayside Metal Exchange,,California,,,,Trader
2021,Accounting,Opus College of Business,Bachelor's Degree,Employed Full-Time,"BDO USA, LLP",,Minnesota,,,,Tax Associate
2021,K-12 Music Education,Opus College of Business,Bachelor's Degree,Employed Full-Time,Amerigo Education,,Illinois,,,,Resident Assistant
2021,English - Professional Writing,Opus College of Business,Bachelor's Degree,Employed Full-Time,Be the Match,,Minnesota,,,,Technical Writer
2021,International Business,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Beacon Hill Staffing Group,,Massachusetts,,,,Staffing Consultant
2021,Psychology,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Behavioral Health Alliance,,Minnesota,,,,Behavioral Health Office Manager
2021,Economics - Business,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Best Buy,,Minnesota,,,,Fraud Analyst
2021,Marketing Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Best Buy,,Minnesota,,,,E-commerce analyst
2021,Sociology,School of Education,Bachelor's Degree,Employed Full-Time,Better Outlook MN,,Minnesota,,,,Office Manager
2021,Computer Science (BS),Opus College of Business,Bachelor's Degree,Employed Full-Time,Bind Benefits,,Minnesota,,,,QE Automation Engineer
2021,Biology,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Bio-Techne,,Minnesota,,,,Inside Sales Specialist
2021,Biochemistry,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Bio-techne,,Wisconsin,,,,Research Associate
2021,Exercise Science,College of Arts & Sciences,Bachelor's Degree,Employed Part-Time,Black coffee and waffle bar,,Minnesota,,,,Server
2021,Financial Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Bloomberg LP,,New York,,,,Analyst
2021,Financial Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,"BMW of North America, LLC",,New Jersey,,,,Service runner
2021,Civil Engineering,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Bolton & Menk,,Minnesota,,,,Water Resources Design Engineer
2021,Mechanical Engineering,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Boston Scientific,,Massachusetts,,,,Process Development Engineer
2021,Biology (BS),College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Boston Scientific,,Massachusetts,,,,Laboratory Assistant
2021,Accounting,School of Engineering,Bachelor's Degree,Employed Full-Time,Boulay,,Minnesota,,,,Audit Associate
2021,Financial Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Boulay,,Minnesota,,,,Wealth Management Associate
2021,Financial Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Box financial,,Minnesota,,,,Planning assistant
2021,Sociology,Opus College of Business,Bachelor's Degree,Employed Full-Time,Boys and Girls Club of the Twin Cities,,Minnesota,,,,Teen Specialist
2021,Gen Business Mgmt,Opus College of Business,Bachelor's Degree,Employed Full-Time,Brackett's Crossing Country Club,,Minnesota,,,,Server
2021,COJO Persuasion/Soc Influence,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Brandpoint,,Minnesota,,,,Digital Marketing Specialist
2021,Geology (BS),College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Braun Intertec Corporation,,Minnesota,,,,Staff Scientist
2021,Economics,College of Health,Bachelor's Degree,Employed Full-Time,Breckenridge Grand Vacations,,Colorado,,,,Marketing Grand Vacation Specialist
2021,Financial Management,School of Engineering,Bachelor's Degree,Employed Full-Time,Bridgewater Bank,,Minnesota,,,,Credit Analyst
2021,Actuarial Science,School of Engineering,Bachelor's Degree,Employed Full-Time,Bright Health,,Minnesota,,,,Actuarial Analyst
2021,Gen Business Mgmt,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,BriteBelt Int.,,Minnesota,,,,Sales Representative
2021,Mechanical Engineering,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Bühler Group,,Minnesota,,,,Project Engineer
2021,Economics - Mathematical,School of Engineering,Bachelor's Degree,Employed Full-Time,"BDO USA, LLP",,Illinois,,,,Transfer Pricing Associate
2021,Marketing Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,C.H Robinson,,Minnesota,,,,Account Executive
2021,Entrepreneurship,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,C.H. Robinson,,Minnesota,,,,Business Development Representative
2021,Operations Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,C.H. Robinson,,Minnesota,,,,Carrier Sales Representative
2021,Financial Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Cambria,,Minnesota,,,,Financial Analyst
2021,Economics - Business,College of Health,Bachelor's Degree,Employed Full-Time,Cambria,,Minnesota,,,,Business Transformation Analyst
