Rank,Major Name,Student Count,Percentage
1,Financial Management,373,9.03%
2,Marketing Management,323,7.82%
3,Mechanical Engineering,228,5.52%
4,MBA,181,4.38%
5,Accounting,145,3.51%
6,Gen Business Mgmt,124,3.0%
7,Computer Science (BS),113,2.74%
8,Entrepreneurship,106,2.57%
9,Psychology,99,2.4%
10,Biology (BS),99,2.4%
11,Social Work,95,2.3%
12,Actuarial Science,86,2.08%
13,Data Science,80,1.94%
14,Electrical Engineering,72,1.74%
15,Neuroscience,68,1.65%
16,Exercise Science,64,1.55%
17,MS Business Analytics,63,1.53%
18,MS Operations & Supply Chain Mgmt,61,1.48%
19,Leadership & Management,59,1.43%
20,Health Care MBA,58,1.4%
21,Operations Management,55,1.33%
22,Acad Behavioral Strategist,53,1.28%
23,Liberal Arts,51,1.24%
24,Human Resources Management,51,1.24%
25,Civil Engineering,51,1.24%
26,Political Science,50,1.21%
27,Catholic Studies,46,1.11%
28,Economics - Business,44,1.07%
29,Biology,43,1.04%
30,Biochemistry,41,0.99%
31,Counseling Psychology,40,0.97%
32,Software Engineering,39,0.94%
33,Philosophy,39,0.94%
34,Real Estate Studies,37,0.9%
35,Computer Engineering,36,0.87%
36,Elementary Education (K-6),32,0.78%
37,Social Work Advanced Standing,32,0.78%
38,Bus Admin - Communication,31,0.75%
39,Law & Compliance,30,0.73%
40,Executive MBA,30,0.73%
41,Data Analytics,29,0.7%
42,Public Health,26,0.63%
43,Economics,25,0.61%
44,Digital Media Arts,25,0.61%
45,Criminal Justice,24,0.58%
46,Chemistry,24,0.58%
47,Communication Studies,23,0.56%
48,Strategic Comm: Ad and PR,22,0.53%
49,International Business,21,0.51%
50,English - Creative Writing,21,0.51%
51,COJO Strategic Communications,20,0.48%
52,Statistics,18,0.44%
53,History,18,0.44%
54,English,18,0.44%
55,Journalism,17,0.41%
56,Biology of Global Health,17,0.41%
57,Educ Leadership & Learning,15,0.36%
58,U.S. Law,15,0.36%
59,Mathematics (Applied Track),14,0.34%
60,Educational Studies,14,0.34%
61,Middle/Secondary Education,14,0.34%
62,Environmental Studies,12,0.29%
63,COJO Journalism,12,0.29%
64,Leadership In Student Affairs,12,0.29%
65,Justice & Peace Studies,11,0.27%
66,Legal Studies,11,0.27%
67,Sociology,11,0.27%
68,Economics - Public Policy,11,0.27%
69,Music - Business,11,0.27%
70,Manufacturing Engineering,10,0.24%
71,Individualized,10,0.24%
72,Intl Studies - Pol Sci,10,0.24%
73,Health Care Innovation,9,0.22%
74,Nursing,9,0.22%
75,English - Professional Writing,9,0.22%
76,Economics - Mathematical,9,0.22%
77,Environmental Sci (Biology),9,0.22%
78,Environmental Sci (Geoscience),9,0.22%
79,Health Promotion & Wellness,9,0.22%
80,COJO Creative Multimedia,9,0.22%
81,Family Studies,8,0.19%
82,Geology (BS),7,0.17%
83,COJO Persuasion/Soc Influence,7,0.17%
84,Music Education,7,0.17%
85,Information Technology,6,0.15%
86,Systems Engineering,6,0.15%
87,Org. Ethics & Compliance,6,0.15%
88,Technology Management,6,0.15%
89,Art History,5,0.12%
90,Geography - Geo Info Sys (GIS),5,0.12%
91,Spanish Cultural/Literary St.,5,0.12%
92,Teacher Preparation-Elem K-6,5,0.12%
93,Economics - International,5,0.12%
94,Theology,5,0.12%
95,Creative Writing & Publishing,5,0.12%
96,Pastoral Leadership,5,0.12%
97,Software Management,4,0.1%
98,Autism Spectrum Disorders,4,0.1%
99,Organization Develop & Change,4,0.1%
100,Teacher Preparation-Secondary,4,0.1%
101,Leadership,4,0.1%
102,Intl Studies - Economics,4,0.1%
103,Mathematics (Education Track),4,0.1%
104,Physics (BS),3,0.07%
105,Music,3,0.07%
106,Spanish Linguistics/Lang. St.,3,0.07%
107,Regulatory Science,3,0.07%
108,Intl Studies - History,3,0.07%
109,K-12 Music Education,3,0.07%
110,Publc Safety & Law Enfr Ldrshp,3,0.07%
111,French,3,0.07%
112,Physics,3,0.07%
113,Business Communication,3,0.07%
114,Educational Leadership & Admin,3,0.07%
115,Mathematics (Pure Track),3,0.07%
116,Early Childhood Special Educ,3,0.07%
117,Geology,2,0.05%
118,Environmental Science,2,0.05%
119,Classical Civilization,2,0.05%
120,Communication and Journalism,2,0.05%
121,Teacher Preparation - K-12,2,0.05%
122,Music - Performance,2,0.05%
123,Risk Management and Insurance,2,0.05%
124,Geography,1,0.02%
125,German,1,0.02%
126,Spanish,1,0.02%
127,Family Business,1,0.02%
128,Quant Methods - Computer Sci,1,0.02%
129,K-12 World Lang. & Cultures,1,0.02%
130,Strategic Communication,1,0.02%
131,Environmental Sci (Chemistry),1,0.02%
132,COJO Interpersonal Comm,1,0.02%
133,Pastoral Ministry,1,0.02%
134,Organization Development,1,0.02%
135,Mathematics (Statistics Track),1,0.02%
136,Comp Science BS (Master Track),1,0.02%
137,Computer Science,1,0.02%
