Large Cluster,Small Cluster,Major Name,Student Count,% of Cluster
BUSINESS & MANAGEMENT,Finance & Accounting,Financial Management,373,61.6%
BUSINESS & MANAGEMENT,Finance & Accounting,Accounting,145,23.9%
BUSINESS & MANAGEMENT,Finance & Accounting,Actuarial Science,86,14.2%
BUSINESS & MANAGEMENT,Finance & Accounting,Risk Management and Insurance,2,0.3%
BUSINESS & MANAGEMENT,General Business,MBA,181,41.0%
BUSINESS & MANAGEMENT,General Business,Gen Business Mgmt,124,28.1%
BUSINESS & MANAGEMENT,General Business,Entrepreneurship,106,24.0%
BUSINESS & MANAGEMENT,General Business,Executive MBA,30,6.8%
BUSINESS & MANAGEMENT,General Business,Family Business,1,0.2%
BUSINESS & MANAGEMENT,Marketing & Communication,Marketing Management,323,90.5%
BUSINESS & MANAGEMENT,Marketing & Communication,Bus Admin - Communication,31,8.7%
BUSINESS & MANAGEMENT,Marketing & Communication,Business Communication,3,0.8%
BUSINESS & MANAGEMENT,Operations & Analytics,MS Business Analytics,63,30.3%
BUSINESS & MANAGEMENT,Operations & Analytics,MS Operations & Supply Chain Mgmt,61,29.3%
BUSINESS & MANAGEMENT,Operations & Analytics,Operations Management,55,26.4%
BUSINESS & MANAGEMENT,Operations & Analytics,Data Analytics,29,13.9%
BUSINESS & MANAGEMENT,Specialized Business,Human Resources Management,51,35.2%
BUSINESS & MANAGEMENT,Specialized Business,Real Estate Studies,37,25.5%
BUSINESS & MANAGEMENT,Specialized Business,Law & Compliance,30,20.7%
BUSINESS & MANAGEMENT,Specialized Business,International Business,21,14.5%
BUSINESS & MANAGEMENT,Specialized Business,Org. Ethics & Compliance,6,4.1%
ENGINEERING & TECHNOLOGY,Computer Science & IT,Computer Science (BS),113,40.2%
ENGINEERING & TECHNOLOGY,Computer Science & IT,Data Science,80,28.5%
ENGINEERING & TECHNOLOGY,Computer Science & IT,Software Engineering,39,13.9%
ENGINEERING & TECHNOLOGY,Computer Science & IT,Computer Engineering,36,12.8%
ENGINEERING & TECHNOLOGY,Computer Science & IT,Information Technology,6,2.1%
ENGINEERING & TECHNOLOGY,Computer Science & IT,Software Management,4,1.4%
ENGINEERING & TECHNOLOGY,Computer Science & IT,Comp Science BS (Master Track),1,0.4%
ENGINEERING & TECHNOLOGY,Computer Science & IT,Computer Science,1,0.4%
ENGINEERING & TECHNOLOGY,Computer Science & IT,Quant Methods - Computer Sci,1,0.4%
ENGINEERING & TECHNOLOGY,Engineering Disciplines,Mechanical Engineering,228,62.1%
ENGINEERING & TECHNOLOGY,Engineering Disciplines,Electrical Engineering,72,19.6%
ENGINEERING & TECHNOLOGY,Engineering Disciplines,Civil Engineering,51,13.9%
ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing Engineering,10,2.7%
ENGINEERING & TECHNOLOGY,Engineering Disciplines,Systems Engineering,6,1.6%
NATURAL & HEALTH SCIENCES,Biological Sciences,Biology (BS),99,36.9%
