Small Cluster,Large Cluster,Total Students,Percentage,Number of Majors
Finance & Accounting,BUSINESS & MANAGEMENT,606,14.68%,4
General Business,BUSINESS & MANAGEMENT,442,10.7%,5
Marketing & Communication,BUSINESS & MANAGEMENT,357,8.65%,3
Operations & Analytics,BUSINESS & MANAGEMENT,208,5.04%,4
Specialized Business,BUSINESS & MANAGEMENT,145,3.51%,5
Computer Science & IT,ENGINEERING & TECHNOLOGY,281,6.81%,9
Engineering Disciplines,ENGINEERING & TECHNOLOGY,367,8.89%,5
Biological Sciences,NATURAL & HEALTH SCIENCES,268,6.49%,5
Physical Sciences,NATURAL & HEALTH SCIENCES,39,0.94%,5
Environmental Sciences,NATURAL & HEALTH SCIENCES,39,0.94%,7
Health & Wellness,NATURAL & HEALTH SCIENCES,175,4.24%,6
Social Sciences,SOCIAL SCIENCES & HUMANITIES,289,7.0%,10
Humanities & Liberal Arts,SOCIAL SCIENCES & HUMANITIES,115,2.79%,5
International Studies,SOCIAL SCIENCES & HUMANITIES,17,0.41%,3
Journalism & Media,COMMUNICATION & MEDIA,63,1.53%,4
Communication Studies,COMMUNICATION & MEDIA,76,1.84%,7
Creative Writing,COMMUNICATION & MEDIA,26,0.63%,2
Teacher Education,EDUCATION & SOCIAL SERVICES,68,1.65%,8
Educational Leadership,EDUCATION & SOCIAL SERVICES,32,0.78%,3
Special Education & Counseling,EDUCATION & SOCIAL SERVICES,100,2.42%,4
Social Work,EDUCATION & SOCIAL SERVICES,127,3.08%,2
Languages,"ARTS, LANGUAGES & THEOLOGY",13,0.31%,5
English & Writing,"ARTS, LANGUAGES & THEOLOGY",27,0.65%,2
