Rank,Major,Count,Percentage
1,Financial Management,370,11.6%
2,Marketing Management,323,10.1%
3,Mechanical Engineering,209,6.5%
4,Accounting,145,4.5%
5,Biology,142,4.4%
6,Gen Business Mgmt,124,3.9%
7,Computer Science,114,3.6%
8,Entrepreneurship,106,3.3%
9,Psychology,99,3.1%
10,Economics,94,2.9%
11,Actuarial Science,86,2.7%
12,Neuroscience,68,2.1%
13,Exercise Science,64,2.0%
14,MS Operations & Supply Chain Mgmt,61,1.9%
15,Leadership & Management,59,1.8%
16,Operations Management,55,1.7%
17,Electrical Engineering,51,1.6%
18,Civil Engineering,51,1.6%
19,Human Resources Management,51,1.6%
20,Political Science,50,1.6%
21,Biochemistry,41,1.3%
22,Philosophy,39,1.2%
23,Real Estate Studies,37,1.2%
24,Computer Engineering,36,1.1%
25,Elementary Education (K-6),32,1.0%
26,Bus Admin - Communication,31,1.0%
27,Law & Compliance,30,0.9%
28,Catholic Studies,30,0.9%
29,Data Analytics,29,0.9%
30,Social Work,26,0.8%
31,Public Health,26,0.8%
32,Digital Media Arts,25,0.8%
33,Chemistry,24,0.7%
34,Criminal Justice,24,0.7%
35,Communication Studies,23,0.7%
36,Mathematics,22,0.7%
37,Strategic Comm: Ad and PR,22,0.7%
38,English - Creative Writing,21,0.7%
39,International Business,21,0.7%
40,COJO Strategic Communications,20,0.6%
41,History,18,0.6%
42,Statistics,18,0.6%
43,Biology of Global Health,17,0.5%
44,Journalism,17,0.5%
45,English,14,0.4%
46,Middle/Secondary Education,14,0.4%
47,COJO Journalism,12,0.4%
48,Environmental Studies,12,0.4%
49,Justice & Peace Studies,11,0.3%
50,Music - Business,11,0.3%
51,Sociology,11,0.3%
52,Intl Studies - Pol Sci,10,0.3%
53,Individualized,10,0.3%
54,Legal Studies,10,0.3%
55,Geology,9,0.3%
56,COJO Creative Multimedia,9,0.3%
57,Environmental Sci (Geoscience),9,0.3%
58,English - Professional Writing,9,0.3%
59,Health Promotion & Wellness,9,0.3%
60,Environmental Sci (Biology),9,0.3%
61,Family Studies,8,0.2%
62,COJO Persuasion/Soc Influence,7,0.2%
63,Physics,6,0.2%
64,Geography - Geo Info Sys (GIS),5,0.2%
65,Spanish Cultural/Literary St.,5,0.2%
66,Intl Studies - Economics,4,0.1%
67,Intl Studies - History,3,0.1%
68,Theology,3,0.1%
69,Business Communication,3,0.1%
70,K-12 Music Education,3,0.1%
71,Spanish Linguistics/Lang. St.,3,0.1%
72,French,3,0.1%
73,Music,3,0.1%
74,Social Work Advanced Standing,2,0.1%
75,Art History,2,0.1%
76,Risk Management and Insurance,2,0.1%
77,Communication and Journalism,2,0.1%
78,Environmental Science,2,0.1%
79,Music - Performance,2,0.1%
80,Classical Civilization,2,0.1%
81,Comp Science BS (Master Track),1,0.0%
82,Family Business,1,0.0%
83,Quant Methods - Computer Sci,1,0.0%
84,K-12 World Lang. & Cultures,1,0.0%
85,German,1,0.0%
86,MS Business Analytics,1,0.0%
87,Environmental Sci (Chemistry),1,0.0%
88,COJO Interpersonal Comm,1,0.0%
89,Geography,1,0.0%
90,Strategic Communication,1,0.0%
91,Nursing,1,0.0%
