Small Cluster,Large Cluster,Count,Percentage
Finance & Accounting,BUSINESS & MANAGEMENT,603,18.8%
Marketing & Communication,BUSINESS & MANAGEMENT,357,11.2%
Engineering Disciplines,ENGINEERING & TECHNOLOGY,347,10.8%
Biological Sciences,NATURAL & HEALTH SCIENCES,277,8.7%
General Business,BUSINESS & MANAGEMENT,231,7.2%
Social Sciences,SOCIAL SCIENCES & HUMANITIES,195,6.1%
Operations & Analytics,BUSINESS & MANAGEMENT,146,4.6%
Specialized Business,BUSINESS & MANAGEMENT,139,4.3%
Unclassified,Unclassified,138,4.3%
Computer Science & IT,ENGINEERING & TECHNOLOGY,115,3.6%
Health & Wellness,NATURAL & HEALTH SCIENCES,100,3.1%
Economics,BUSINESS & MANAGEMENT,94,2.9%
Communication Studies,COMMUNICATION & MEDIA,76,2.4%
Journalism & Media,COMMUNICATION & MEDIA,63,2.0%
Humanities & Liberal Arts,SOCIAL SCIENCES & HUMANITIES,59,1.8%
Arts & Theology,"ARTS, LANGUAGES & THEOLOGY",51,1.6%
Teacher Education,EDUCATION & SOCIAL SERVICES,50,1.6%
Physical Sciences,NATURAL & HEALTH SCIENCES,39,1.2%
Social Work,EDUCATION & SOCIAL SERVICES,28,0.9%
English & Writing,"ARTS, LANGUAGES & THEOLOGY",23,0.7%
Creative Writing,COMMUNICATION & MEDIA,21,0.7%
Environmental Sciences,NATURAL & HEALTH SCIENCES,20,0.6%
International Studies,SOCIAL SCIENCES & HUMANITIES,17,0.5%
Languages,"ARTS, LANGUAGES & THEOLOGY",12,0.4%
