Large Cluster Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3
Large Cluster,Count,Percentage,
Unclassified,1662,51.9%,
Business & Finance,782,24.4%,
Technology & Engineering,375,11.7%,
Healthcare & Science,274,8.6%,
Education & Service,75,2.3%,
"Arts, Media & Legal",33,1.0%,
,,,
Detailed Breakdown,,,
Large Cluster,Small Cluster,Job Title,Count
"Arts, Media & Legal",Legal & Policy,Paralegal,6
"Arts, Media & Legal",Legal & Policy,Compliance Services Associate,2
Business & Finance,Accounting & Audit,Audit Associate,20
Business & Finance,Accounting & Audit,Tax Associate,12
Business & Finance,Accounting & Audit,Accountant,10
Business & Finance,Accounting & Audit,Staff Accountant,7
Business & Finance,Accounting & Audit,Tax Consultant,4
Business & Finance,Accounting & Audit,Tax Accountant,3
Business & Finance,Accounting & Audit,Audit and Assurance Assistant,2
Business & Finance,Accounting & Audit,Auditor,2
Business & Finance,Accounting & Audit,Fund Accountant,2
Business & Finance,Accounting & Audit,Staff Auditor,2
Business & Finance,Accounting & Audit,Tax associate,2
Business & Finance,Finance & Investment,Financial Analyst,31
Business & Finance,Finance & Investment,Actuarial Analyst,22
Business & Finance,Finance & Investment,Financial Advisor,7
Business & Finance,Finance & Investment,Investment Analyst,7
Business & Finance,Finance & Investment,Investment Banking Analyst,7
Business & Finance,Finance & Investment,Credit Analyst,6
Business & Finance,Finance & Investment,Financial Services Associate,5
Business & Finance,Finance & Investment,Financial analyst,5
Business & Finance,Finance & Investment,Underwriter,5
Business & Finance,Finance & Investment,Associate Actuarial Analyst,4
Business & Finance,Finance & Investment,Associate Financial Analyst,4
Business & Finance,Finance & Investment,Actuarial Associate,3
Business & Finance,Finance & Investment,Actuarial Trainee,3
Business & Finance,Finance & Investment,Risk Analyst,3
Business & Finance,Finance & Investment,Actuarial Consultant,2
Business & Finance,Finance & Investment,Associate Financial Representative,2
Business & Finance,Finance & Investment,Equity Research Associate,2
Business & Finance,Finance & Investment,Finance Analyst,2
Business & Finance,Finance & Investment,Financial Planning Analyst,2
Business & Finance,Finance & Investment,Financial Services Professional,2
Business & Finance,Finance & Investment,Relationship Banker,2
Business & Finance,Leadership (General),Account Manager,11
Business & Finance,Leadership (General),Associate Account Manager,5
Business & Finance,Leadership (General),Leadership Development Program Associate,5
Business & Finance,Leadership (General),Area Manager,3
Business & Finance,Leadership (General),Associate Accounting Manager,3
Business & Finance,Leadership (General),Founder,3
Business & Finance,Leadership (General),General Manager,3
Business & Finance,Leadership (General),Owner,3
Business & Finance,Leadership (General),Business Development Manager,2
Business & Finance,Leadership (General),Chief Executive Officer,2
Business & Finance,Leadership (General),Manager,2
Business & Finance,Leadership (General),Office Manager,2
Business & Finance,Leadership (General),Sourcing and Procurement Manager,2
Business & Finance,Management & Operations,Project Manager,16
Business & Finance,Management & Operations,Marketing Coordinator,12
Business & Finance,Management & Operations,Inventory Analyst,8
Business & Finance,Management & Operations,Communications Coordinator,5
Business & Finance,Management & Operations,Account Coordinator,4
Business & Finance,Management & Operations,Program Manager,4
Business & Finance,Management & Operations,Court Operations Associate,3
Business & Finance,Management & Operations,Human Resources Coordinator,3
Business & Finance,Management & Operations,Logistics Specialist,3
Business & Finance,Management & Operations,Market Coordinator,3
Business & Finance,Management & Operations,Recruiting Coordinator,3
Business & Finance,Management & Operations,Supply Chain Analyst,3
Business & Finance,Management & Operations,Clinical Research Coordinator,2
Business & Finance,Management & Operations,Digital Marketing Coordinator,2
Business & Finance,Management & Operations,Logistics Coordinator,2
Business & Finance,Management & Operations,Logistics Representative I,2
Business & Finance,Management & Operations,Operations Associate,2
Business & Finance,Management & Operations,Operations Manager,2
Business & Finance,Management & Operations,Patient Care Coordinator,2
Business & Finance,Management & Operations,Performance Coordinator,2
Business & Finance,Management & Operations,Production Control Analyst,2
Business & Finance,Management & Operations,Production Planner,2
Business & Finance,Management & Operations,Project Coordinator,2
Business & Finance,Management & Operations,Sales Coordinator,2
Business & Finance,Management & Operations,Volunteer Coordinator,2
Business & Finance,Sales & Marketing,Sales Associate,14
Business & Finance,Sales & Marketing,Sales Development Representative,12
Business & Finance,Sales & Marketing,Account Executive,11
Business & Finance,Sales & Marketing,Marketing Specialist,10
Business & Finance,Sales & Marketing,Marketing Associate,7
Business & Finance,Sales & Marketing,Sales Representative,6
Business & Finance,Sales & Marketing,Digital Marketing Specialist,4
Business & Finance,Sales & Marketing,Sales Agent,4
Business & Finance,Sales & Marketing,Sales Engineer,3
Business & Finance,Sales & Marketing,Brand Ambassador,2
Business & Finance,Sales & Marketing,Buyer,2
Business & Finance,Sales & Marketing,Carrier Sales Representative,2
Business & Finance,Sales & Marketing,Digital Marketing Associate,2
Business & Finance,Sales & Marketing,Enterprise Sales Development Representative,2
Business & Finance,Sales & Marketing,Inside Sales Specialist,2
Business & Finance,Sales & Marketing,Marketing Analyst,2
Business & Finance,Sales & Marketing,Sales Consultant,2
Business & Finance,Sales & Marketing,Salesperson,2
Education & Service,Education,Teacher,36
Education & Service,Social Service,Case Manager,5
Healthcare & Science,Clinical Care,Intern,66
Healthcare & Science,Clinical Care,Medical Scribe,9
Healthcare & Science,Clinical Care,Behavioral Therapist,4
Healthcare & Science,Clinical Care,Resident Assistant,4
Healthcare & Science,Clinical Care,Clinic Assistant,3
Healthcare & Science,Clinical Care,Personal Care Assistant,3
Healthcare & Science,Clinical Care,Resident Advisor,3
Healthcare & Science,Clinical Care,Behavior Therapist,2
Healthcare & Science,Clinical Care,Clinical Assistant,2
Healthcare & Science,Clinical Care,Clinical Research Associate,2
Healthcare & Science,Clinical Care,Direct Care Professional,2
Healthcare & Science,Clinical Care,Medical Assistant,2
Healthcare & Science,Clinical Care,Multimedia Journalist,2
Healthcare & Science,Clinical Care,Student-Athlete Mentor,2
Healthcare & Science,Research & Science,Legal Assistant,5
Healthcare & Science,Research & Science,Chemist,4
Healthcare & Science,Research & Science,Laboratory Assistant,4
Healthcare & Science,Research & Science,Research Associate,4
Healthcare & Science,Research & Science,Accounting Assistant,3
Healthcare & Science,Research & Science,Environmental Scientist,3
Healthcare & Science,Research & Science,Laborer,3
Healthcare & Science,Research & Science,Microbiologist,3
Healthcare & Science,Research & Science,Office Assistant,3
Healthcare & Science,Research & Science,Research Assistant,3
Healthcare & Science,Research & Science,Assistant Property Manager,2
Healthcare & Science,Research & Science,Human Resources Assistant,2
Healthcare & Science,Research & Science,Laboratory Manager,2
Healthcare & Science,Research & Science,Research Analyst,2
Healthcare & Science,Research & Science,Researcher,2
Healthcare & Science,Research & Science,Scientist,2
Healthcare & Science,Research & Science,Seton Teaching Fellow,2
Healthcare & Science,Research & Science,Staff Scientist,2
Healthcare & Science,Research & Science,Teaching Assistant,2
Technology & Engineering,Engineering,Mechanical Engineer,17
Technology & Engineering,Engineering,Project Engineer,14
Technology & Engineering,Engineering,Design Engineer,10
Technology & Engineering,Engineering,Manufacturing Engineer,10
Technology & Engineering,Engineering,Mechanical Design Engineer,6
Technology & Engineering,Engineering,Application Engineer,5
Technology & Engineering,Engineering,Electrical Engineer,5
Technology & Engineering,Engineering,Engineer,5
Technology & Engineering,Engineering,Graduate Engineer,5
Technology & Engineering,Engineering,Automation Engineer,4
Technology & Engineering,Engineering,Quality Engineer,4
Technology & Engineering,Engineering,Staff Engineer,4
Technology & Engineering,Engineering,Civil Engineer,3
Technology & Engineering,Engineering,Design Assurance Engineer,3
Technology & Engineering,Engineering,Process Engineer,3
Technology & Engineering,Engineering,Product Engineer,3
Technology & Engineering,Engineering,Assistant Civil Engineer,2
Technology & Engineering,Engineering,Business Systems Analyst,2
Technology & Engineering,Engineering,Electrical Engineer 1,2
Technology & Engineering,Engineering,Electrical Engineer I,2
Technology & Engineering,Engineering,Engineer I,2
Technology & Engineering,Engineering,Field Engineer,2
Technology & Engineering,Engineering,Graduate Transportation Engineer,2
Technology & Engineering,Engineering,Industrial Engineer,2
Technology & Engineering,Engineering,Process Development Engineer,2
Technology & Engineering,Engineering,Reliability Engineer,2
Technology & Engineering,IT & Infrastructure,Laboratory Technician,5
Technology & Engineering,IT & Infrastructure,Emergency Medical Technician,4
Technology & Engineering,IT & Infrastructure,Administrative Assistant,2
Technology & Engineering,IT & Infrastructure,Behavioral Technician,2
Technology & Engineering,IT & Infrastructure,Emergency Department Technician,2
Technology & Engineering,IT & Infrastructure,Pharmacy Technician,2
Technology & Engineering,IT & Infrastructure,Pharmacy technician,2
Technology & Engineering,IT & Infrastructure,Physical Therapy Technician,2
Technology & Engineering,IT & Infrastructure,Wait Staff,2
Technology & Engineering,Software & Data,Software Engineer,29
Technology & Engineering,Software & Data,Software Developer,11
Technology & Engineering,Software & Data,Data Analyst,8
Technology & Engineering,Software & Data,Data Engineer,3
Technology & Engineering,Software & Data,Data Scientist,2
Technology & Engineering,Software & Data,Developer,2
Technology & Engineering,Software & Data,IT Analyst/Programmer,2
Unclassified,Unclassified Jobs,Unknown,1211
Unclassified,Unclassified Jobs,Analyst,17
Unclassified,Unclassified Jobs,Associate,16
Unclassified,Unclassified Jobs,Associate Consultant,11
Unclassified,Unclassified Jobs,Business Development Representative,8
Unclassified,Unclassified Jobs,Technical Recruiter,7
Unclassified,Unclassified Jobs,Business Analyst,6
Unclassified,Unclassified Jobs,Recruiter,6
Unclassified,Unclassified Jobs,Server,6
Unclassified,Unclassified Jobs,Scribe,5
Unclassified,Unclassified Jobs,Assurance Associate,4
