Job Title,Small Cluster,Large Cluster,2021,2022,2023,2024
Account Executive,Sales & Marketing,Business & Finance,3,2,4,2
Account Manager,Leadership (General),Business & Finance,3,4,1,3
Accountant,Accounting & Audit,Business & Finance,4,2,4,0
Actuarial Analyst,Finance & Investment,Business & Finance,4,3,10,5
Analyst,Unclassified Jobs,Unclassified,7,2,6,2
Associate,Unclassified Jobs,Unclassified,3,1,12,0
Associate Consultant,Unclassified Jobs,Unclassified,5,0,4,2
Audit Associate,Accounting & Audit,Business & Finance,6,5,7,2
Business Analyst,Unclassified Jobs,Unclassified,2,0,2,2
Business Development Representative,Unclassified Jobs,Unclassified,3,0,5,0
Case Manager,Social Service,Education & Service,1,0,4,0
Communications Coordinator,Management & Operations,Business & Finance,2,0,3,0
Credit Analyst,Finance & Investment,Business & Finance,2,0,3,1
Data Analyst,Software & Data,Technology & Engineering,2,1,4,1
Design Engineer,Engineering,Technology & Engineering,3,3,3,1
Financial Advisor,Finance & Investment,Business & Finance,2,1,4,0
Financial Analyst,Finance & Investment,Business & Finance,10,7,11,3
Financial Services Associate,Finance & Investment,Business & Finance,0,0,5,0
Graduate Engineer,Engineering,Technology & Engineering,2,2,0,1
Intern,Clinical Care,Healthcare & Science,35,15,9,7
Inventory Analyst,Management & Operations,Business & Finance,4,2,2,0
Investment Analyst,Finance & Investment,Business & Finance,0,0,7,0
Investment Banking Analyst,Finance & Investment,Business & Finance,4,1,2,0
Laboratory Technician,IT & Infrastructure,Technology & Engineering,1,1,3,0
Leadership Development Program Associate,Leadership (General),Business & Finance,0,0,5,0
Legal Assistant,Research & Science,Healthcare & Science,2,0,2,1
Manufacturing Engineer,Engineering,Technology & Engineering,3,1,5,1
Marketing Associate,Sales & Marketing,Business & Finance,3,1,2,1
Marketing Coordinator,Management & Operations,Business & Finance,5,4,2,1
Marketing Specialist,Sales & Marketing,Business & Finance,5,0,5,0
Mechanical Design Engineer,Engineering,Technology & Engineering,2,1,3,0
Mechanical Engineer,Engineering,Technology & Engineering,6,1,8,2
Medical Scribe,Clinical Care,Healthcare & Science,4,2,2,1
Paralegal,Legal & Policy,"Arts, Media & Legal",2,0,4,0
Project Engineer,Engineering,Technology & Engineering,7,3,4,0
Project Manager,Management & Operations,Business & Finance,5,5,5,1
Recruiter,Unclassified Jobs,Unclassified,3,1,2,0
Sales Associate,Sales & Marketing,Business & Finance,4,1,9,0
Sales Development Representative,Sales & Marketing,Business & Finance,7,1,4,0
Sales Representative,Sales & Marketing,Business & Finance,3,0,3,0
Scribe,Unclassified Jobs,Unclassified,2,2,0,1
Server,Unclassified Jobs,Unclassified,2,0,4,0
Software Developer,Software & Data,Technology & Engineering,6,2,2,1
Software Engineer,Software & Data,Technology & Engineering,10,5,12,2
Staff Accountant,Accounting & Audit,Business & Finance,3,0,3,1
Tax Associate,Accounting & Audit,Business & Finance,5,1,4,2
Teacher,Education,Education & Service,19,3,10,4
Technical Recruiter,Unclassified Jobs,Unclassified,4,0,3,0
Underwriter,Finance & Investment,Business & Finance,2,1,2,0
Unknown,Unclassified Jobs,Unclassified,249,637,122,203
