Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Opus College of Business,Bachelor's Degree,2024,Cyber Security Specialist,Software & IT,148 FW,Government & Public Service,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Finance Analyst,Finance & Accounting,3M,Technology & Software,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Customer Issue Resolution Analyst,Sales & Business Development,3M,Technology & Software,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,O2 Engineer,Engineering,3M,Technology & Software,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Health,Bachelor's Degree,2024,Credit Analyst,Finance & Accounting,3M,Technology & Software,Minnesota
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,School of Engineering,Bachelor's Degree,2024,Supply Chain Analyst,Operations & Supply Chain,3M,Technology & Software,Iowa
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Marketing Automation Analyst,Marketing & Communications,3M,Technology & Software,Wisconsin
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's Degree,2024,Analyst,Software & IT,3M,Technology & Software,
Chemistry,NATURAL & HEALTH SCIENCES,Physical Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Laboratory Technician III,Engineering,3M,Technology & Software,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's Degree,2024,Tech Aid,Software & IT,3M,Technology & Software,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Opus College of Business,Bachelor's Degree,2024,Technical Analyst,Software & IT,3M,Technology & Software,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,associate financial analyst,Finance & Accounting,Ecolab,Manufacturing & Industrial,Illinois
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Credit Analyst,Finance & Accounting,Wintrust Bank,Financial Services & Insurance,Illinois
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's Degree,2024,Kitchen/Administrative Assistant,Administrative & Support,Abdallah Candies Inc.,Manufacturing & Industrial,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Audit Associate,Finance & Accounting,Abdo,Financial Services & Insurance,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Quality Engineer,Engineering,"AbelConn Electronics, a Celestica Company",Manufacturing & Industrial,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Opus College of Business,Bachelor's Degree,2024,AWS Application Lead,Software & IT,Accenture,Technology & Software,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Associate Business Manager,Management & Leadership,Acosta,Professional Services & Consulting,Florida
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Opus College of Business,Bachelor's Degree,2024,Direct Care,Healthcare & Clinical,ACR Homes,Healthcare & Medical,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Engineering Technician,Engineering,Actalent Services,Professional Services & Consulting,Minnesota
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's Degree,2024,Recruiter,Human Resources,Actalent Services,Professional Services & Consulting,Minnesota
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Bachelor's Degree,2024,Administrative Coordinator,Administrative & Support,The Saint Paul Seminary,Education & Academia,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Thin Film Engineer,Engineering,Advanced Research Corporation,Technology & Software,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,School of Engineering,Bachelor's Degree,2024,Project Analyst,Healthcare & Clinical,Agilitihealth,Healthcare & Medical,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Financial analyst,Finance & Accounting,Agilitihealth,Healthcare & Medical,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Cash Management Specialist,Finance & Accounting,AgriBank,Financial Services & Insurance,Minnesota
COJO Creative Multimedia,COMMUNICATION & MEDIA,Journalism & Media,College of Arts & Sciences,Bachelor's Degree,2024,Rep,Sales & Business Development,AHS,Healthcare & Medical,
Economics - Public Policy,SOCIAL SCIENCES & HUMANITIES,Economics,School of Engineering,Bachelor's Degree,2024,Officer,Government & Public Service,Air Force,Government & Public Service,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Force Support,Government & Public Service,Air Force,Government & Public Service,Minnesota
Criminal Justice,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Aircraft Maintenance,Government & Public Service,Air Force,Government & Public Service,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Space Operations Officer,Operations & Supply Chain,Air Force Reserve,Government & Public Service,Wisconsin
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Metrology engineer,Engineering,AIS,Professional Services & Consulting,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Health,Bachelor's Degree,2024,District Manager,Management & Leadership,ALDI,Retail & Consumer Products,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,School of Engineering,Bachelor's Degree,2024,Sales Representative,Sales & Business Development,Aleran,Technology & Software,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,Sales Associate,Sales & Business Development,Align Surgical Supply LLC,Healthcare & Medical,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Traffic Engineer Assistant,Engineering,Alliant Engineering,"Construction, Engineering & Real Estate",Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,FMO Distribution Intern,Operations & Supply Chain,Allianz,Financial Services & Insurance,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's Degree,2024,Business Analyst,Finance & Accounting,Allianz Life,Financial Services & Insurance,Minnesota
Public Health,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Arts & Sciences,Bachelor's Degree,2024,Community Engagement and Health Improvement Intern,Nonprofit & Social Services,Allina Health,Healthcare & Medical,Minnesota
Biochemistry,NATURAL & HEALTH SCIENCES,Biological Sciences,School of Engineering,Bachelor's Degree,2024,Emergency Medical Technician,Healthcare & Clinical,Allina Health,Healthcare & Medical,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,Opus College of Business,Bachelor's Degree,2024,Emergency Department Technician,Engineering,Allina Health,Healthcare & Medical,Minnesota
