Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year
Computer Science,Cyber Security Specialist,148 FW,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Finance Analyst,3M,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Entrepreneurship,Customer Issue Resolution Analyst,3M,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,O2 Engineer,3M,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Credit Analyst,3M,College of Health,Bachelor's Degree,Minnesota,2021
Operations Management,Supply Chain Analyst,3M,School of Engineering,Bachelor's Degree,Iowa,2021
Marketing Management,Marketing Automation Analyst,3M,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Operations Management,Analyst,3M,Opus College of Business,Bachelor's Degree,,2021
Chemistry,Laboratory Technician III,3M,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,Tech Aid,3M,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,Technical Analyst,3M,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,associate financial analyst,Ecolab,Opus College of Business,Bachelor's degree,Illinois,2024
Financial Management,Credit Analyst,Wintrust Bank,Opus College of Business,Bachelor's degree,Illinois,2024
Human Resources Management,Kitchen/Administrative Assistant,Abdallah Candies Inc.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Audit Associate,Abdo,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Quality Engineer,"AbelConn Electronics, a Celestica Company",College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,AWS Application Lead,Accenture,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Associate Business Manager,Acosta,Opus College of Business,Bachelor's Degree,Florida,2021
Psychology,Direct Care,ACR Homes,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Engineering Technician,Actalent Services,Opus College of Business,Bachelor's Degree,Minnesota,2021
Human Resources Management,Recruiter,Actalent Services,Opus College of Business,Bachelor's Degree,Minnesota,2021
Catholic Studies,Administrative Coordinator,The Saint Paul Seminary,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Thin Film Engineer,Advanced Research Corporation,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Entrepreneurship,Project Analyst,Agilitihealth,School of Engineering,Bachelor's Degree,Minnesota,2021
Financial Management,Financial analyst,Agilitihealth,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Cash Management Specialist,AgriBank,Opus College of Business,Bachelor's Degree,Minnesota,2021
COJO Creative Multimedia,Rep,AHS,College of Arts & Sciences,Bachelor's Degree,,2021
Economics - Public Policy,Officer,Air Force,School of Engineering,Bachelor's Degree,Minnesota,2021
Psychology,Force Support,Air Force,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Criminal Justice,Aircraft Maintenance,Air Force,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Space Operations Officer,Air Force Reserve,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Mechanical Engineering,Metrology engineer,AIS,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,District Manager,ALDI,College of Health,Bachelor's Degree,Minnesota,2021
Financial Management,Sales Representative,Aleran,School of Engineering,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Sales Associate,Align Surgical Supply LLC,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Traffic Engineer Assistant,Alliant Engineering,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,FMO Distribution Intern,Allianz,Opus College of Business,Bachelor's Degree,Minnesota,2021
Leadership & Management,Business Analyst,Allianz Life,Opus College of Business,Bachelor's Degree,Minnesota,2021
Public Health,Community Engagement and Health Improvement Intern,Allina Health,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biochemistry,Emergency Medical Technician,Allina Health,School of Engineering,Bachelor's Degree,Minnesota,2021
Biology,Emergency Department Technician,Allina Health,Opus College of Business,Bachelor's Degree,Minnesota,2021
Social Work,Direct Care Professional,Always Best Care Senior Services,School of Engineering,Bachelor's Degree,Minnesota,2021
Operations Management,Operation Manager,Amazon,Opus College of Business,Bachelor's Degree,Wisconsin,2021
Gen Business Mgmt,Area Operations Manager,Amazon,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,Software Consultant,Ameren,College of Health,Bachelor's Degree,Minnesota,2021
Environmental Science,Construction Materials Technician,American Engineering Testing,College of Health,Bachelor's Degree,Minnesota,2021
Political Science,CollegePoint Coach,AmeriCorps,School of Engineering,Bachelor's Degree,Minnesota,2021
Neuroscience,College Coach,Americorps,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Contingent Manufacturing Engineer,Abbott Laboratories,Opus College of Business,Bachelor's Degree,Illinois,2021
Economics - Mathematical,Analytics LDP Associate,Ameriprise Financial,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,Leadership development Program - Mobile app team,Ameriprise Financial,Opus College of Business,Bachelor's Degree,Minnesota,2021
Economics,Fund Accountant,"Ameriprise Financial Services, LLC",Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Financial Advisor in Training,"Ameriprise Financial Services, LLC",School of Engineering,Bachelor's Degree,Minnesota,2021
Financial Management,Paraplanner,"Ameriprise Financial Services, LLC",Opus College of Business,Bachelor's Degree,Minnesota,2021
Operations Management,Inside sales representative,Andersen,Opus College of Business,Bachelor's Degree,Minnesota,2021
Operations Management,Supply chain analyst,Andersen Corporation,Opus College of Business,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Account Representative,Aon,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Actuarial Science,Ecommerce Manager,Apex Auto Salvage,Opus College of Business,Bachelor's Degree,Minnesota,2021
Biology of Global Health,Microbiologist,Apex International,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Technical Recruiter,Apex Systems,College of Arts & Sciences,Bachelor's Degree,Virginia,2021
Financial Management,Accounting Associate,APi Group,Opus College of Business,Bachelor's Degree,Minnesota,2021
Neuroscience,Small Animal Technician,APS,School of Engineering,Bachelor's Degree,Minnesota,2021
Marketing Management,Campaign Manager,Arcanum Consulting Inc.,School of Engineering,Bachelor's Degree,Minnesota,2021
Environmental Studies,Youth Minister,Archdiocese St. Paul-Minneapolis,Opus College of Business,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Manufacturing Engineer,Arctic Cat,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,SDR,Arctic Wolf,School of Engineering,Bachelor's Degree,Minnesota,2021
Economics - Business,Machine Learning Consultant,Ashling Partners,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Marketing Management,Account Manager,Asmodee Group,College of Arts & Sciences,Bachelor's Degree,Do not live in the United States,2021
Mechanical Engineering,Associate Controls Engineer,Aspect Automation,Opus College of Business,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Private Pilot,ATP Flight School,Opus College of Business,Bachelor's Degree,Florida,2021
Gen Business Mgmt,Underwriter,Auto-Owners Insurance,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Leadership & Management,Project Management Office Intern,BAE Systems,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Computer Science,Software Verification Engineer,Abbott Northwestern Hospital,College of Health,Bachelor's Degree,Illinois,2021
Mechanical Engineering,Associate Application Engineer,Banner Engineering,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Associate Mechanical Design Engineer,Banner Engineering,Opus College of Business,Bachelor's Degree,Minnesota,2021
Exercise Science,Key Holder,Bath and Body Works,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Trader,Bayside Metal Exchange,Opus College of Business,Bachelor's Degree,California,2021
Accounting,Tax Associate,"BDO USA, LLP",Opus College of Business,Bachelor's Degree,Minnesota,2021
K-12 Music Education,Resident Assistant,Amerigo Education,Opus College of Business,Bachelor's Degree,Illinois,2021
English - Professional Writing,Technical Writer,Be the Match,Opus College of Business,Bachelor's Degree,Minnesota,2021
International Business,Staffing Consultant,Beacon Hill Staffing Group,College of Arts & Sciences,Bachelor's Degree,Massachusetts,2021
Psychology,Behavioral Health Office Manager,Behavioral Health Alliance,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Economics - Business,Fraud Analyst,Best Buy,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,E-commerce analyst,Best Buy,Opus College of Business,Bachelor's Degree,Minnesota,2021
Sociology,Office Manager,Better Outlook MN,School of Education,Bachelor's Degree,Minnesota,2021
Computer Science,QE Automation Engineer,Bind Benefits,Opus College of Business,Bachelor's Degree,Minnesota,2021
Biology,Inside Sales Specialist,Bio-Techne,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biochemistry,Research Associate,Bio-techne,College of Arts & Sciences,Bachelor's Degree,Wisconsin,2021
Exercise Science,Server,Black coffee and waffle bar,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Analyst,Bloomberg LP,College of Arts & Sciences,Bachelor's Degree,New York,2021
Financial Management,Service runner,"BMW of North America, LLC",College of Arts & Sciences,Bachelor's Degree,New Jersey,2021
Civil Engineering,Water Resources Design Engineer,Bolton & Menk,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Process Development Engineer,Boston Scientific,College of Arts & Sciences,Bachelor's Degree,Massachusetts,2021
Biology,Laboratory Assistant,Boston Scientific,College of Arts & Sciences,Bachelor's Degree,Massachusetts,2021
Accounting,Audit Associate,Boulay,School of Engineering,Bachelor's Degree,Minnesota,2021
Financial Management,Wealth Management Associate,Boulay,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Planning assistant,Box financial,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Sociology,Teen Specialist,Boys and Girls Club of the Twin Cities,Opus College of Business,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Server,Brackett's Crossing Country Club,Opus College of Business,Bachelor's Degree,Minnesota,2021
COJO Persuasion/Soc Influence,Digital Marketing Specialist,Brandpoint,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Geology,Staff Scientist,Braun Intertec Corporation,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Economics,Marketing Grand Vacation Specialist,Breckenridge Grand Vacations,College of Health,Bachelor's Degree,Colorado,2021
Financial Management,Credit Analyst,Bridgewater Bank,School of Engineering,Bachelor's Degree,Minnesota,2021
Actuarial Science,Actuarial Analyst,Bright Health,School of Engineering,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Sales Representative,BriteBelt Int.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Project Engineer,Bühler Group,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Economics - Mathematical,Transfer Pricing Associate,"BDO USA, LLP",School of Engineering,Bachelor's Degree,Illinois,2021
Marketing Management,Account Executive,C.H Robinson,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Entrepreneurship,Business Development Representative,C.H. Robinson,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Operations Management,Carrier Sales Representative,C.H. Robinson,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Financial Analyst,Cambria,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Economics - Business,Business Transformation Analyst,Cambria,College of Health,Bachelor's Degree,Minnesota,2021
Mechanical Engineering,Mechanical Engineer,Cantel Medical,Opus College of Business,Bachelor's Degree,New Jersey,2021
Environmental Sci (Biology),Stormwater BMP Technician,Capitol Region Watershed District,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
English - Creative Writing,Caption Editor,Captionmax,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Science,IT and Information Security Consultant,Cardigan Donuts,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Biology,Personal Care Assistant,"CARE PLANNERS HOME HEALTH CARE, LLC",College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Marketing Management,Barista,Caribou Coffee,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Psychology,Store Leader,Caribou Coffee,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Spanish Linguistics/Lang. St.,Billing Assistant,"Caring Professionals Homecare, LLC",College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Elementary Education (K-6),3rd Grade Teacher,Carondelet Catholic School,Opus College of Business,Bachelor's Degree,Minnesota,2021
Accounting,Associate Accountant,CBRE,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Human Resources Management,Workplace Experience Coordinator,CBRE,College of Arts & Sciences,Bachelor's Degree,Texas,2021
COJO Strategic Communications,Client Services Coordinator,CBRE,College of Arts & Sciences,Bachelor's Degree,Texas,2021
Biology,"Building Maintenance, Surveyor",CBS Squared Inc.,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Catholic Studies,Framer,CCC,Opus College of Business,Bachelor's Degree,Minnesota,2021
Computer Engineering,Associate Consulting Engineer,CDW,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Civil Engineering,Environmental Specialist,Cemstone,Opus College of Business,Bachelor's Degree,Minnesota,2021
Marketing Management,Marketing Contractor,Central McGowan,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Economics - Business,Business analysis intern,Ceramic industrial coatings,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Human Resources Management,Operations Specialist,CH Robinson,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Psychology,Trivia Jockey,Challenge Entertainment,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021
Financial Management,Investment Banking Analyst,Chartwell Financial Advisory,Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Analyst,"Chartwell Financial Advisory, Inc.",Opus College of Business,Bachelor's Degree,Minnesota,2021
Financial Management,Investment Banking Analyst,Cherry Tree & Associates,Opus College of Business,Bachelor's Degree,Minnesota,2021
Gen Business Mgmt,Team Lead,Chick-fil-A-Franchise,Opus College of Business,Bachelor's Degree,Georgia,2021
Political Science,Public Health Assistant,Children’s Dental Services,Opus College of Business,Bachelor's Degree,Minnesota,2021
Sociology,Assistant Teacher,Children's Discovery Academy,School of Engineering,Bachelor's Degree,Minnesota,2021
Actuarial Science,Associate Underwriter,Burns & Wilcox,Opus College of Business,Bachelor's Degree,Illinois,2021
