Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year,Major Cluster,Major Subcluster,Industry Group,Job Function
Computer Science,Cyber Security Specialist,148 FW,Opus College of Business,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Government & Public Service,Software & IT
Financial Management,Finance Analyst,3M,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Technology & Software,Finance & Accounting
Entrepreneurship,Customer Issue Resolution Analyst,3M,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,General Business,Technology & Software,Sales & Business Development
Mechanical Engineering,O2 Engineer,3M,Opus College of Business,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Technology & Software,Engineering
Financial Management,Credit Analyst,3M,College of Health,Bachelor's Degree,Minnesota,2021,BUSINESS & MANAGEMENT,Finance & Accounting,Technology & Software,Finance & Accounting
Operations Management,Supply Chain Analyst,3M,School of Engineering,Bachelor's Degree,Iowa,2021,BUSINESS & MANAGEMENT,Operations & Analytics,Technology & Software,Operations & Supply Chain
Marketing Management,Marketing Automation Analyst,3M,Opus College of Business,Bachelor's Degree,Wisconsin,2021,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Marketing & Communications
Operations Management,Analyst,3M,Opus College of Business,Bachelor's Degree,,2021,BUSINESS & MANAGEMENT,Operations & Analytics,Technology & Software,Software & IT
Chemistry,Laboratory Technician III,3M,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021,NATURAL & HEALTH SCIENCES,Physical Sciences,Technology & Software,Engineering
Computer Science,Tech Aid,3M,College of Arts & Sciences,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Technology & Software,Software & IT
Computer Science,Technical Analyst,3M,Opus College of Business,Bachelor's Degree,Minnesota,2021,ENGINEERING & TECHNOLOGY,Computer Science & IT,Technology & Software,Software & IT
Financial Management,associate financial analyst,Ecolab,Opus College of Business,Bachelor's degree,Illinois,2024,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
