Program Name/Major,Academic Division/School,Degree Level,Graduation Date,Job Title,Employing Organization,Position Location - State
Electrical Engineering,School of Engineering,Bachelor's,5/15/2022,Research Scientist,Cargill,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,Brand Manager,McGough Construction,CA
COJO Strategic Communications,College of Arts and Sciences,Bachelor's,5/15/2025,Software Engineer,Deloitte,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Contract Specialist,Cargill,MA
Data Analytics,School of Engineering,Bachelor's,5/15/2022,Analytics Consultant,Toro Company,MN
Computer Science,School of Engineering,Bachelor's,5/15/2024,Registered Nurse,Target (Tech),MN
Biology,College of Arts and Sciences,Bachelor's,5/15/2022,Talent Acquisition Specialist,Optum,MN
Manufacturing Engineering,School of Engineering,Bachelor's,5/15/2021,Civil Engineer,NextEra Energy,CA
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2022,Sales Representative,CBRE Group,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2020,Case Manager,Securian Financial,CO
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,Analytics Consultant,Honeywell,WI
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Team Lead,US Bank,MN
Educational Studies,School of Education,Bachelor's,5/15/2020,Assistant Manager,Wayzata Public Schools,GA
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2022,UX Designer,Boston Consulting Group,OH
Electrical Engineering,School of Engineering,Bachelor's,5/15/2023,Financial Analyst,General Mills,FL
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2024,Scientist,PwC,IA
Computer Engineering,School of Engineering,Bachelor's,5/15/2024,Electrical Engineer,Honeywell,GA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2025,Brand Manager,Grant Thornton,WI
Marketing Management,Opus College of Business,Bachelor's,5/15/2021,Financial Analyst,General Mills,MN
Marketing Management,Opus College of Business,Bachelor's,5/15/2019,UX Designer,McKinsey,TX
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2019,Clinical Research Associate,Hennepin County,NE
Political Science,College of Arts and Sciences,Bachelor's,5/15/2023,Social Media Manager,Osseo Area Schools,CA
Elementary Education (K-6),School of Education,Bachelor's,5/15/2021,Business Intelligence Analyst,Peace Corps,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Compliance Analyst,Google,OH
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Accountant,Google,MN
Accounting,Opus College of Business,Bachelor's,5/15/2024,Registered Nurse,Mortenson,SD
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2021,Community Outreach Specialist,Wayzata Public Schools,MN
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2023,Systems Administrator,Grant Thornton,OH
Marketing Management,Opus College of Business,Bachelor's,5/15/2023,Office Coordinator,Deloitte,IL
Social Work,School of Education,Bachelor's,5/15/2024,Team Lead,University of St. Thomas,MN
Computer Science,School of Engineering,Bachelor's,5/15/2025,Mechanical Engineer,Intel,IL
Political Science,College of Arts and Sciences,Bachelor's,5/15/2024,Field Engineer,City of Minneapolis,FL
Social Work,School of Education,Bachelor's,5/15/2023,Physical Therapist,Osseo Area Schools,FL
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Underwriter,Wells Fargo,MN
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2022,Operations Manager,Deloitte,OH
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Teaching Assistant,Grant Thornton,MN
Elementary Education (K-6),School of Education,Bachelor's,5/15/2020,HR Coordinator,State of Minnesota,CA
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2022,Underwriter,Kraus-Anderson,MA
Elementary Education (K-6),School of Education,Bachelor's,5/15/2021,Consultant,Optum,IL
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Financial Analyst,RBC Wealth Management,MA
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2022,Assistant,Cargill,NY
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2022,Advisory Associate,University of St. Thomas,MA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2025,Data Analyst,Accenture,MN
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2025,Project Manager,KPMG,WI
Accounting,Opus College of Business,Bachelor's,5/15/2024,Account Executive,CenterPoint Energy,MN
Computer Science,School of Engineering,Bachelor's,5/15/2021,Compliance Analyst,UnitedHealth Group,TX
Marketing Management,Opus College of Business,Bachelor's,5/15/2020,Financial Analyst,Wells Fargo,NE
Operations Management,Opus College of Business,Bachelor's,5/15/2023,Policy Analyst,KPMG,IA
Operations Management,Opus College of Business,Bachelor's,5/15/2023,Sales Representative,Xcel Energy,MN
Real Estate Studies,Opus College of Business,Bachelor's,5/15/2022,Social Media Manager,Land O'Lakes,NE
Exercise Science,College of Arts and Sciences,Bachelor's,5/15/2023,Business Development Associate,3M,TX
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Visual Designer,AWS,WA
Psychology,College of Arts and Sciences,Bachelor's,5/15/2024,Administrative Assistant,Mortenson,CA
History,College of Arts and Sciences,Bachelor's,5/15/2023,Tax Associate,City of Minneapolis,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Account Manager,Grant Thornton,MA
Chemistry,College of Arts and Sciences,Bachelor's,5/15/2024,Multimedia Specialist,Ryan Companies,NY
Psychology,College of Arts and Sciences,Bachelor's,5/15/2023,Sales Representative,EY,CO
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2023,Social Worker,US Army,GA
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Graphic Designer,General Mills,MN
Electrical Engineering,School of Engineering,Bachelor's,5/15/2020,Systems Administrator,Intel,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2021,Content Strategist,KPMG,MN
Accounting,Opus College of Business,Bachelor's,5/15/2022,Administrative Assistant,Sleep Number,MN
Chemistry,College of Arts and Sciences,Bachelor's,5/15/2024,Clinical Research Coordinator,Fairview,MA
COJO Strategic Communications,College of Arts and Sciences,Bachelor's,5/15/2025,Inside Sales Rep,CBRE Group,CO
Social Work,School of Education,Bachelor's,5/15/2021,Health Coach,Microsoft,CO
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2021,Tax Associate,RBC Wealth Management,CO
Accounting,Opus College of Business,Bachelor's,5/15/2020,Business Development Associate,3M,NY
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Research Assistant,Children's Minnesota,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Grant Writer,Accenture,MN
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2021,HR Coordinator,NextEra Energy,MN
Biochemistry,College of Arts and Sciences,Bachelor's,5/15/2019,Teacher,Toro Company,TX
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2020,HR Generalist,Kraus-Anderson,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2020,IT Analyst,Xcel Energy,NY
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2024,Operations Manager,Osseo Area Schools,CO
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2024,Coordinator,Abbott Laboratories,NY
Software Engineering,School of Engineering,Bachelor's,5/15/2023,Appraiser,3M,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2023,Lab Technician,Mortenson,IA
Biology,College of Arts and Sciences,Bachelor's,5/15/2020,Operations Analyst,UnitedHealth Group,MN
Actuarial Science,College of Arts and Sciences,Bachelor's,5/15/2023,Clinical Research Associate,NextEra Energy,WA
Communication Studies,College of Arts and Sciences,Bachelor's,5/15/2021,Software Engineer,Sleep Number,WI
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2025,Scientist,Intel,IL
Gen Business Mgmt,Opus College of Business,Bachelor's,5/15/2023,Tax Associate,Securian Financial,CO
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Graphic Designer,KPMG,IL
Environmental Science,College of Arts and Sciences,Bachelor's,5/15/2019,Physical Therapist,UnitedHealth Group,CO
Accounting,Opus College of Business,Bachelor's,5/15/2023,Sales Representative,Mortenson,CA
Financial Management,Opus College of Business,Bachelor's,5/15/2022,Software Engineer,General Mills,MA
Entrepreneurship,Opus College of Business,Bachelor's,5/15/2025,Appraiser,Ryan Companies,WA
COJO Strategic Communications,College of Arts and Sciences,Bachelor's,5/15/2024,Clinical Research Coordinator,Boston Consulting Group,WA
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2023,Instructor,Mortenson,NE
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2023,Real Estate Analyst,Abbott Northwestern Hospital,TX
Operations Management,Opus College of Business,Bachelor's,5/15/2022,Research Assistant,Google,OH
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2022,Content Strategist,Target (Tech),MN
Educational Studies,School of Education,Bachelor's,5/15/2020,Construction Manager,Allina Health,CA
Marketing Management,Opus College of Business,Bachelor's,5/15/2022,Operations Director,EY,MN
Financial Management,Opus College of Business,Bachelor's,5/15/2023,Civil Engineer,Osseo Area Schools,IA
Electrical Engineering,School of Engineering,Bachelor's,5/15/2024,Registered Nurse,Best Buy,MN
Digital Media Arts,College of Arts and Sciences,Bachelor's,5/15/2024,Content Strategist,General Mills,WI
Social Work,School of Education,Bachelor's,5/15/2023,HR Generalist,Wayzata Public Schools,NE
Criminal Justice,College of Arts and Sciences,Bachelor's,5/15/2024,Operations Manager,Fastenal,WA
COJO Journalism,College of Arts and Sciences,Bachelor's,5/15/2024,Inside Sales Rep,KPMG,MN
Psychology,College of Arts and Sciences,Bachelor's,5/15/2023,Web Developer,City of Minneapolis,WI
Neuroscience,College of Arts and Sciences,Bachelor's,5/15/2024,Clinical Research Associate,Allianz,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2024,Project Manager,AWS,NE
Biology,College of Arts and Sciences,Bachelor's,5/15/2023,Clinical Research Coordinator,Abbott Laboratories,IA
Marketing Management,Opus College of Business,Bachelor's,5/15/2024,Supply Chain Coordinator,IBM,NE
Public Health,College of Arts and Sciences,Bachelor's,5/15/2023,Health Coach,Grant Thornton,SD
Mechanical Engineering,School of Engineering,Bachelor's,5/15/2019,Systems Administrator,IBM,NY
Financial Management,Opus College of Business,Bachelor's,5/15/2020,Accountant,Deloitte,WA
Civil Engineering,School of Engineering,Bachelor's,5/15/2020,Accountant,Target (Tech),NY
Biology,College of Arts and Sciences,Bachelor's,5/15/2019,Data Scientist,Honeywell,GA
Catholic Studies,College of Arts and Sciences,Bachelor's,5/15/2025,Management Consultant,Grant Thornton,MN
Public Health,College of Arts and Sciences,Bachelor's,5/15/2021,Registered Nurse,Grant Thornton,WA
Computer Science,School of Engineering,Bachelor's,5/15/2022,Web Developer,Children's Minnesota,MA
Philosophy,College of Arts and Sciences,Bachelor's,5/15/2024,Contract Specialist,Peace Corps,FL
Financial Management,Opus College of Business,Bachelor's,5/15/2025,Operations Manager,McGough Construction,SD
Strategic Comm: Ad and PR,College of Arts and Sciences,Bachelor's,5/15/2021,Account Manager,Cargill,FL
